bn:00014445n	[wn2020:02964806n, wn:02933112n]	cabinet	[A piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display]
bn:00027586n	[wn:14439447n, wn2020:14579826n]	dishonour	[A state of shame or disgrace]
bn:00027585n	[wn2020:00752903n, wn:00749574n]	dishonesty	[]
bn:00027585n	[wn2020:00752903n, wn:00749574n]	knavery	[Lack of honesty; acts of lying or cheating or stealing]
bn:00027579n	[wn:03207941n, wn2020:03242674n]	dish_washer	[]
bn:00027579n	[wn:03207941n, wn2020:03242674n]	dishwashing_machine	[A machine for washing dishes]
bn:00027579n	[wn:03207941n, wn2020:03242674n]	dishwasher	[]
bn:00023423n	[wn2020:10084832n, wn:09973624n]	coxswain	[]
bn:00023423n	[wn2020:10084832n, wn:09973624n]	cox	[The helmsman of a ship's boat or a racing crew]
bn:00027593n	[wn:00255600n, wn2020:00257155n]	dishwashing	[]
bn:00027593n	[wn:00255600n, wn2020:00257155n]	washup	[The act of washing dishes]
bn:00023418n	[wn2020:14402851n, wn:14262882n]	vaccinia	[A viral disease of cattle causing a mild skin disease affecting the udder; formerly used to inoculate humans against smallpox]
bn:00023418n	[wn2020:14402851n, wn:14262882n]	cowpox	[]
bn:00027597n	[wn2020:00712565n, wn:00709521n]	disinfection	[Treatment to destroy harmful microorganisms]
bn:00023419n	[wn:01953361n, wn2020:01972363n]	cowry	[Any of numerous tropical marine gastropods of the genus Cypraea having highly polished usually brightly marked shells]
bn:00023419n	[wn:01953361n, wn2020:01972363n]	cowrie	[]
bn:00023401n	[wn:12249542n, wn2020:12375827n]	vaccinium_vitis-idaea	[Low evergreen shrub of high north temperate regions of Europe and Asia and America bearing red edible berries]
bn:00023401n	[wn:12249542n, wn2020:12375827n]	foxberry	[]
bn:00023401n	[wn:12249542n, wn2020:12375827n]	lingonberry	[]
bn:00023401n	[wn:12249542n, wn2020:12375827n]	mountain_cranberry	[]
bn:00023401n	[wn:12249542n, wn2020:12375827n]	lingberry	[]
bn:00023401n	[wn:12249542n, wn2020:12375827n]	lingenberry	[]
bn:00023401n	[wn:12249542n, wn2020:12375827n]	cowberry	[]
bn:00027606n	[wn:06205018n, wn2020:06264423n]	disinterest	[]
bn:00027606n	[wn:06205018n, wn2020:06264423n]	neutrality	[Tolerance attributable to a lack of involvement]
bn:00027620n	[wn2020:07593577n, wn:07501545n]	dislike	[A feeling of aversion or antipathy]
bn:00023422n	[wn:14737847n, wn2020:14879935n]	cox	[Either of two related enzymes that control the production of prostaglandins and are blocked by aspirin]
bn:00023422n	[wn:14737847n, wn2020:14879935n]	cyclooxygenase	[]
bn:00020777n	[wn:03072056n, wn2020:03104768n]	colours	[A distinguishing emblem]
bn:00020777n	[wn:03072056n, wn2020:03104768n]	colors	[]
bn:00027622n	[wn2020:14431508n, wn:14291561n]	dislocation	[A displacement of a part (especially a bone) from its normal position (as in the shoulder or the vertebral column)]
bn:00027627n	[wn:07213079n, wn2020:07304031n]	dismissal	[]
bn:00027627n	[wn:07213079n, wn2020:07304031n]	dismission	[]
bn:00027627n	[wn:07213079n, wn2020:07304031n]	pink_slip	[Official notice that you have been fired from your job]
bn:00023431n	[wn2020:10085111n, wn:09973903n]	coyote	[Someone who smuggles illegal immigrants into the United States (usually across the Mexican border)]
bn:00023421n	[wn:12091377n, wn2020:12217421n]	cowslip	[]
bn:00023421n	[wn:12091377n, wn2020:12217421n]	primula_veris	[Early spring flower common in British isles having fragrant yellow or sometimes purple flowers]
bn:00023421n	[wn:12091377n, wn2020:12217421n]	paigle	[]
bn:00020465n	[wn2020:06399290n, wn:06336904n]	last_name	[The name used to identify the members of a family (as distinguished from each member's given name)]
bn:00020465n	[wn2020:06399290n, wn:06336904n]	cognomen	[]
bn:00020465n	[wn2020:06399290n, wn:06336904n]	family_name	[]
bn:00020465n	[wn2020:06399290n, wn:06336904n]	surname	[]
bn:00020797n	[wn2020:01742456n, wn:01727646n]	colubrid	[Mostly harmless temperate-to-tropical terrestrial or arboreal or aquatic snakes]
bn:00020797n	[wn2020:01742456n, wn:01727646n]	colubrid_snake	[]
bn:00027634n	[wn:14052403n, wn2020:14192266n]	disorder	[]
bn:00010371n	[wn:07743224n, wn2020:07836729n]	whortleberry	[]
bn:00027634n	[wn:14052403n, wn2020:14192266n]	upset	[A physical condition in which there is a disturbance of normal functioning]
bn:00010371n	[wn:07743224n, wn2020:07836729n]	bilberry	[]
bn:00010371n	[wn:07743224n, wn2020:07836729n]	european_blueberry	[Blue-black berries similar to American blueberries]
bn:00023435n	[wn2020:00757654n, wn:00754280n]	cozenage	[A fraudulent business scheme]
bn:00023435n	[wn2020:00757654n, wn:00754280n]	scam	[]
bn:00010398n	[wn2020:02869982n, wn:02838728n]	vizor	[A brim that projects to the front to shade the eyes]
bn:00010398n	[wn2020:02869982n, wn:02838728n]	visor	[]
bn:00010398n	[wn2020:02869982n, wn:02838728n]	bill	[]
bn:00010398n	[wn2020:02869982n, wn:02838728n]	eyeshade	[]
bn:00010398n	[wn2020:02869982n, wn:02838728n]	peak	[]
bn:00027720n	[wn:07181208n, wn2020:07272095n]	dissidence	[Disagreement; especially disagreement with the government]
bn:00023440n	[wn2020:07881285n, wn:07787715n]	crab	[]
bn:00023440n	[wn2020:07881285n, wn:07787715n]	crabmeat	[The edible flesh of any of various crabs]
bn:00027711n	[wn2020:14361260n, wn:14221311n]	systemic_lupus_erythematosus	[]
bn:00027711n	[wn2020:14361260n, wn:14221311n]	sle	[]
bn:00027711n	[wn2020:14361260n, wn:14221311n]	disseminated_lupus_erythematosus	[An inflammatory disease of connective tissue with variable features including fever and weakness and fatigability and joint pains and skin lesions on the face or neck or arms]
bn:00023441n	[wn:02185167n, wn2020:02206517n]	crab	[]
bn:00023441n	[wn:02185167n, wn2020:02206517n]	phthirius_pubis	[A louse that infests the pubic region of the human body]
bn:00023441n	[wn:02185167n, wn2020:02206517n]	crab_louse	[]
bn:00023441n	[wn:02185167n, wn2020:02206517n]	pubic_louse	[]
bn:00027737n	[wn2020:06683867n, wn:06618035n]	dissolve	[(film) a gradual transition from one scene to the next; the next scene is gradually superimposed as the former scene fades out]
bn:00010397n	[wn2020:02870212n, wn:02838958n]	billhook	[A long-handled saw with a curved blade]
bn:00010397n	[wn2020:02870212n, wn:02838958n]	bill	[]
bn:00023450n	[wn2020:07832805n, wn:07739344n]	crab_apple	[]
bn:00023450n	[wn2020:07832805n, wn:07739344n]	crabapple	[Small sour apple; suitable for preserving]
bn:00023449n	[wn:12634211n, wn2020:12761678n]	crabapple	[Any of numerous wild apple trees usually with small acidic fruit]
bn:00023449n	[wn:12634211n, wn2020:12761678n]	wild_apple	[]
bn:00023449n	[wn:12634211n, wn2020:12761678n]	crab_apple	[]
bn:00023453n	[wn:12117017n, wn2020:12243138n]	finger_grass	[Grasses with creeping stems that root freely; a pest in lawns]
bn:00023453n	[wn:12117017n, wn2020:12243138n]	crabgrass	[]
bn:00023453n	[wn:12117017n, wn2020:12243138n]	crab_grass	[]
bn:00010406n	[wn:13377268n, wn2020:13511004n]	order_of_payment	[A document ordering the payment of money; drawn by one person or bank on another]
bn:00010406n	[wn:13377268n, wn2020:13511004n]	bill_of_exchange	[]
bn:00010406n	[wn:13377268n, wn2020:13511004n]	draft	[]
bn:00023438n	[wn:01976957n, wn2020:01996096n]	crab	[Decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers]
bn:00023436n	[wn2020:15425913n, wn:15279104n]	cycle	[The unit of frequency; one hertz has a periodic interval of one second]
bn:00023436n	[wn2020:15425913n, wn:15279104n]	cycles/second	[]
bn:00023436n	[wn2020:15425913n, wn:15279104n]	cps	[]
bn:00023436n	[wn2020:15425913n, wn:15279104n]	hz	[]
bn:00023436n	[wn2020:15425913n, wn:15279104n]	cycle_per_second	[]
bn:00023436n	[wn2020:15425913n, wn:15279104n]	hertz	[]
bn:00027797n	[wn2020:05783678n, wn:05729036n]	statistical_distribution	[(statistics) an arrangement of values of a variable showing their observed or theoretical frequency of occurrence]
bn:00027797n	[wn2020:05783678n, wn:05729036n]	distribution	[]
bn:00023458n	[wn:04641700n, wn2020:04687708n]	crossness	[A disposition to be ill-tempered]
bn:00023458n	[wn:04641700n, wn2020:04687708n]	crabbiness	[]
bn:00023458n	[wn:04641700n, wn2020:04687708n]	crabbedness	[]
bn:00010394n	[wn:07250339n, wn2020:07341419n]	flyer	[]
bn:00010394n	[wn:07250339n, wn2020:07341419n]	flier	[]
bn:00010394n	[wn:07250339n, wn2020:07341419n]	throwaway	[An advertisement (usually printed on a page or in a leaflet) intended for wide distribution]
bn:00010394n	[wn:07250339n, wn2020:07341419n]	bill	[]
bn:00010394n	[wn:07250339n, wn2020:07341419n]	handbill	[]
bn:00010394n	[wn:07250339n, wn2020:07341419n]	broadsheet	[]
bn:00010394n	[wn:07250339n, wn2020:07341419n]	broadside	[]
bn:00010394n	[wn:07250339n, wn2020:07341419n]	circular	[]
bn:00027813n	[wn:05698791n, wn2020:05753273n]	suspicion	[Doubt about someone's honesty]
bn:00027813n	[wn:05698791n, wn2020:05753273n]	distrust	[]
bn:00027813n	[wn:05698791n, wn2020:05753273n]	mistrust	[]
bn:00027813n	[wn:05698791n, wn2020:05753273n]	misgiving	[]
bn:00010407n	[wn:06492939n, wn2020:06557676n]	card	[]
bn:00010407n	[wn:06492939n, wn2020:06557676n]	bill_of_fare	[]
bn:00010407n	[wn:06492939n, wn2020:06557676n]	carte	[A list of dishes available at a restaurant]
bn:00010407n	[wn:06492939n, wn2020:06557676n]	carte_du_jour	[]
bn:00010407n	[wn:06492939n, wn2020:06557676n]	menu	[]
bn:00010411n	[wn:07235335n, wn2020:07326371n]	indictment	[]
bn:00010411n	[wn:07235335n, wn2020:07326371n]	bill_of_indictment	[A formal document written for a prosecuting attorney charging a person with some offense]
bn:00027825n	[wn:03214253n, wn2020:03248968n]	ditch	[A long narrow excavation in the earth]
bn:00023476n	[wn:09974278n, wn2020:10085486n]	cracker	[A programmer who cracks (gains unauthorized access to) computers, typically to do malicious things]
bn:00010417n	[wn:09854510n, wn2020:09965586n]	bill_poster	[]
bn:00010417n	[wn:09854510n, wn2020:09965586n]	bill_sticker	[Someone who pastes up bills or placards on walls or billboards]
bn:00010417n	[wn:09854510n, wn2020:09965586n]	poster	[]
bn:00023474n	[wn:07681926n, wn2020:07775004n]	cracker	[A thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet]
bn:00010445n	[wn2020:13876578n, wn:13739721n]	one-billionth	[]
bn:00010445n	[wn2020:13876578n, wn:13739721n]	billionth	[One part in a billion equal parts]
bn:00023470n	[wn:10294953n, wn2020:10406665n]	crack_shot	[Someone skilled in shooting]
bn:00023470n	[wn:10294953n, wn2020:10406665n]	marksman	[]
bn:00023470n	[wn:10294953n, wn2020:10406665n]	sharpshooter	[]
bn:00027819n	[wn2020:07521460n, wn:07430211n]	interference	[]
bn:00027819n	[wn2020:07521460n, wn:07430211n]	noise	[]
bn:00027819n	[wn2020:07521460n, wn:07430211n]	disturbance	[Electrical or acoustic activity that can disturb communication]
bn:00027835n	[wn2020:06442341n, wn:06379094n]	dithyramb	[(ancient Greece) a passionate hymn (usually in honor of Dionysus)]
bn:00027836n	[wn:06821279n, wn2020:06888854n]	ditto	[A mark used to indicate the word above it should be repeated]
bn:00027836n	[wn:06821279n, wn2020:06888854n]	ditto_mark	[]
bn:00023466n	[wn:03125184n, wn2020:03158915n]	crack	[]
bn:00023466n	[wn:03125184n, wn2020:03158915n]	crack_cocaine	[]
bn:00023466n	[wn:03125184n, wn2020:03158915n]	tornado	[A purified and potent form of cocaine that is smoked rather than snorted; highly addictive]
bn:00010447n	[wn2020:02441388n, wn:02416880n]	billy	[]
bn:00010447n	[wn2020:02441388n, wn:02416880n]	billy_goat	[]
bn:00010447n	[wn2020:02441388n, wn:02416880n]	he-goat	[Male goat]
bn:00023477n	[wn:03125352n, wn2020:03159083n]	snapper	[]
bn:00023477n	[wn:03125352n, wn2020:03159083n]	cracker_bonbon	[A party favor consisting of a paper roll (usually containing candy or a small favor) that pops when pulled at both ends]
bn:00023477n	[wn:03125352n, wn2020:03159083n]	cracker	[]
bn:00027844n	[wn:03214966n, wn2020:03249681n]	divan	[A long backless sofa (usually with pillows against a wall)]
bn:00023483n	[wn2020:03159319n, wn:03125588n]	crackleware	[]
bn:00023483n	[wn2020:03159319n, wn:03125588n]	crackle_china	[Glazed china with a network of fine cracks on the surface]
bn:00023483n	[wn2020:03159319n, wn:03125588n]	crackle	[]
bn:00023484n	[wn:14677485n, wn2020:14819211n]	crackling	[The residue that remains after animal fat has been rendered]
bn:00023484n	[wn:14677485n, wn2020:14819211n]	greaves	[]
bn:00010446n	[wn2020:07439788n, wn:07348545n]	billow	[]
bn:00010446n	[wn2020:07439788n, wn:07348545n]	surge	[A large sea wave]
bn:00027847n	[wn:03215076n, wn2020:03249791n]	diwan	[A Muslim council chamber or law court]
bn:00027847n	[wn:03215076n, wn2020:03249791n]	divan	[]
bn:00027845n	[wn2020:08409257n, wn:08311848n]	divan	[]
bn:00027845n	[wn2020:08409257n, wn:08311848n]	diwan	[A Muslim council of state]
bn:00023543n	[wn:10427467n, wn2020:10539360n]	craniologist	[Someone who claims to be able to read your character from the shape of your skull]
bn:00023543n	[wn:10427467n, wn2020:10539360n]	phrenologist	[]
bn:00010461n	[wn2020:14918261n, wn:14776237n]	bimetal	[Material made by bonding together sheets of two different metals]
bn:00027851n	[wn2020:00328281n, wn:00326677n]	dive	[]
bn:00027851n	[wn2020:00328281n, wn:00326677n]	nosedive	[A steep nose-down descent by an aircraft]
bn:00027851n	[wn2020:00328281n, wn:00326677n]	nose_dive	[]
bn:00027846n	[wn:06592576n, wn2020:06658013n]	diwan	[A collection of Persian or Arabic poems (usually by one author)]
bn:00027846n	[wn:06592576n, wn2020:06658013n]	divan	[]
bn:00027855n	[wn:10019406n, wn2020:10130782n]	diver	[]
bn:00027855n	[wn:10019406n, wn2020:10130782n]	plunger	[Someone who dives (into water)]
bn:00023541n	[wn:01471070n, wn2020:01481649n]	craniata	[]
bn:00023541n	[wn:01471070n, wn2020:01481649n]	subphylum_craniata	[Fishes; amphibians; reptiles; birds; mammals]
bn:00023541n	[wn:01471070n, wn2020:01481649n]	vertebrata	[]
bn:00023541n	[wn:01471070n, wn2020:01481649n]	subphylum_vertebrata	[]
bn:00010483n	[wn:02840361n, wn2020:02871609n]	binder	[]
bn:00010483n	[wn:02840361n, wn2020:02871609n]	reaper_binder	[A machine that cuts grain and binds it in sheaves]
bn:00027810n	[wn2020:08651118n, wn:08552138n]	territory	[]
bn:00027810n	[wn2020:08651118n, wn:08552138n]	district	[]
bn:00027810n	[wn2020:08651118n, wn:08552138n]	dominion	[A region marked off for administrative or other purposes]
bn:00027810n	[wn2020:08651118n, wn:08552138n]	territorial_dominion	[]
bn:00010500n	[wn:14057001n, wn2020:14196865n]	bulimia	[]
bn:00010500n	[wn:14057001n, wn2020:14196865n]	binge-eating_syndrome	[A disorder of eating seen among young women who go on eating binges and then feel guilt and depression and self-condemnation]
bn:00010513n	[wn2020:02873560n, wn:02842303n]	bioweapon	[]
bn:00010513n	[wn2020:02873560n, wn:02842303n]	biological_weapon	[]
bn:00010513n	[wn2020:02873560n, wn:02842303n]	bioarm	[Any weapon usable in biological warfare]
bn:00023540n	[wn:05285275n, wn2020:05338443n]	orbital_cavity	[The bony cavity in the skull containing the eyeball]
bn:00023540n	[wn:05285275n, wn2020:05338443n]	orbit	[]
bn:00023540n	[wn:05285275n, wn2020:05338443n]	cranial_orbit	[]
bn:00023540n	[wn:05285275n, wn2020:05338443n]	eye_socket	[]
bn:00010473n	[wn:09221070n, wn2020:09331816n]	binary_star	[]
bn:00010473n	[wn:09221070n, wn2020:09331816n]	binary	[]
bn:00010473n	[wn:09221070n, wn2020:09331816n]	double_star	[A system of two stars that revolve around each other under their mutual gravitation]
bn:00010530n	[wn:00850260n, wn2020:00854054n]	biogenesis	[]
bn:00010530n	[wn:00850260n, wn2020:00854054n]	biogeny	[The production of living organisms from other living organisms]
bn:00010529n	[wn:13438817n, wn2020:13572716n]	biogenesis	[Production of a chemical compound by a living organism]
bn:00010529n	[wn:13438817n, wn2020:13572716n]	biosynthesis	[]
bn:00023533n	[wn2020:02032266n, wn:02012849n]	crane	[Large long-necked wading bird of marshes and plains in many parts of the world]
bn:00010514n	[wn2020:00972458n, wn:00967780n]	biological_warfare	[]
bn:00010514n	[wn2020:00972458n, wn:00967780n]	bw	[]
bn:00010514n	[wn2020:00972458n, wn:00967780n]	biological_attack	[]
bn:00010514n	[wn2020:00972458n, wn:00967780n]	biologic_attack	[]
bn:00010514n	[wn2020:00972458n, wn:00967780n]	bioattack	[The use of bacteria or viruses or toxins to destroy men and animals or food]
bn:00023549n	[wn2020:03160773n, wn:03127024n]	starter	[A hand tool consisting of a rotating shaft with parallel handle]
bn:00023549n	[wn2020:03160773n, wn:03127024n]	crank	[]
bn:00027854n	[wn:10019552n, wn2020:10130928n]	diver	[]
bn:00027854n	[wn:10019552n, wn2020:10130928n]	underwater_diver	[Someone who works underwater]
bn:00027854n	[wn:10019552n, wn2020:10130928n]	frogman	[]
bn:00010525n	[wn:06126523n, wn2020:06184688n]	bioengineering	[]
bn:00010525n	[wn:06126523n, wn2020:06184688n]	biotechnology	[]
bn:00010525n	[wn:06126523n, wn2020:06184688n]	ergonomics	[The branch of engineering science in which biological science is used to study the relation between workers and their environments]
bn:00027859n	[wn2020:14698508n, wn:14557573n]	walleye	[]
bn:00027859n	[wn2020:14698508n, wn:14557573n]	exotropia	[Strabismus in which one or both eyes are directed outward]
bn:00027859n	[wn2020:14698508n, wn:14557573n]	divergent_strabismus	[]
bn:00023561n	[wn:03130563n, wn2020:03164312n]	crape	[A soft thin light fabric with a crinkled surface]
bn:00023561n	[wn:03130563n, wn2020:03164312n]	crepe	[]
bn:00010553n	[wn:14684918n, wn2020:14826626n]	biomass	[Plant materials and animal waste used as fuel]
bn:00027856n	[wn2020:02069173n, wn:02049088n]	diver	[Large somewhat primitive fish-eating diving bird of the northern hemisphere having webbed feet placed far back; related to the grebes]
bn:00027856n	[wn2020:02069173n, wn:02049088n]	loon	[]
bn:00010550n	[wn2020:08088253n, wn:07993109n]	biota	[]
bn:00010550n	[wn2020:08088253n, wn:07993109n]	biology	[All the plant and animal life of a particular region]
bn:00027850n	[wn:00442981n, wn2020:00445002n]	diving	[A headlong plunge into water]
bn:00027850n	[wn:00442981n, wn2020:00445002n]	dive	[]
bn:00027868n	[wn2020:10656618n, wn:10544748n]	wrecker	[]
bn:00027868n	[wn2020:10656618n, wn:10544748n]	saboteur	[]
bn:00027868n	[wn2020:10656618n, wn:10544748n]	diversionist	[Someone who commits sabotage or deliberately causes wrecks]
bn:00023556n	[wn:14854581n, wn2020:14997362n]	poop	[]
bn:00023556n	[wn:14854581n, wn2020:14997362n]	turd	[Obscene terms for feces]
bn:00023556n	[wn:14854581n, wn2020:14997362n]	shit	[]
bn:00023556n	[wn:14854581n, wn2020:14997362n]	shite	[]
bn:00023556n	[wn:14854581n, wn2020:14997362n]	crap	[]
bn:00023556n	[wn:14854581n, wn2020:14997362n]	dirt	[]
bn:00027863n	[wn:00195569n, wn2020:00197125n]	diversification	[]
bn:00027863n	[wn:00195569n, wn2020:00197125n]	variegation	[The act of introducing variety (especially in investments or in the variety of goods and services offered)]
bn:00023567n	[wn:13743460n, wn2020:13880422n]	snake_eyes	[Expressions used when when two dice are thrown and both come up showing one spot]
bn:00023567n	[wn:13743460n, wn2020:13880422n]	craps	[]
bn:00023566n	[wn2020:02589252n, wn:02562796n]	crappie	[Small sunfishes of central United States rivers]
bn:00023568n	[wn:00508952n, wn2020:00511116n]	craps	[A gambling game played with two dice; a first throw of 7 or 11 wins and a first throw of 2, 3, or 12 loses and a first throw of any other number must be repeated to win before a 7 is thrown, which loses the bet and the dice]
bn:00027866n	[wn2020:00979930n, wn:00975270n]	diversionary_attack	[An attack calculated to draw enemy defense away from the point of the principal attack]
bn:00027866n	[wn2020:00979930n, wn:00975270n]	diversion	[]
bn:00023560n	[wn2020:07733998n, wn:07641138n]	crepe	[]
bn:00023560n	[wn2020:07733998n, wn:07641138n]	french_pancake	[Small very thin pancake]
bn:00023560n	[wn2020:07733998n, wn:07641138n]	crape	[]
bn:00027881n	[wn2020:13869810n, wn:13732953n]	dividend	[A number to be divided by another number]
bn:00027875n	[wn:01115017n, wn2020:01120289n]	divestiture	[The sale by a company of a product line or a subsidiary or a division]
bn:00027865n	[wn2020:00428859n, wn:00426928n]	diversion	[]
bn:00027865n	[wn2020:00428859n, wn:00426928n]	recreation	[An activity that diverts or amuses or stimulates]
bn:00027873n	[wn:07042586n, wn2020:07131504n]	serenade	[A musical composition in several movements; has no fixed form]
bn:00027873n	[wn:07042586n, wn2020:07131504n]	divertimento	[]
bn:00027886n	[wn:03894379n, wn2020:03935055n]	partition	[]
bn:00027886n	[wn:03894379n, wn2020:03935055n]	divider	[A vertical structure that divides or separates (as a wall divides one room from another)]
bn:00027880n	[wn:13408023n, wn2020:13541886n]	dividend	[That part of the earnings of a corporation that is distributed to its shareholders; usually paid quarterly]
bn:00023573n	[wn:07478874n, wn2020:07570772n]	crash	[(computer science) an event that causes a computer system to become inoperative]
bn:00027818n	[wn2020:14223654n, wn:14083790n]	mental_disturbance	[]
bn:00027818n	[wn2020:14223654n, wn:14083790n]	mental_disorder	[]
bn:00027818n	[wn2020:14223654n, wn:14083790n]	psychological_disorder	[]
bn:00027818n	[wn2020:14223654n, wn:14083790n]	disturbance	[]
bn:00027818n	[wn2020:14223654n, wn:14083790n]	folie	[(psychiatry) a psychological disorder of thought or emotion; a more neutral term than mental illness]
bn:00010534n	[wn:06515827n, wn2020:06580698n]	life	[]
bn:00010534n	[wn:06515827n, wn2020:06580698n]	biography	[]
bn:00010534n	[wn:06515827n, wn2020:06580698n]	life_history	[An account of the series of events making up a person's life]
bn:00010534n	[wn:06515827n, wn2020:06580698n]	life_story	[]
bn:00023542n	[wn2020:01482261n, wn:01471682n]	vertebrate	[]
bn:00023542n	[wn2020:01482261n, wn:01471682n]	craniate	[Animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium]
bn:00027878n	[wn:08679369n, wn2020:08779215n]	watershed	[]
bn:00027878n	[wn:08679369n, wn2020:08779215n]	divide	[A ridge of land that separates two adjacent river systems]
bn:00027878n	[wn:08679369n, wn2020:08779215n]	water_parting	[]
bn:00010560n	[wn:06424275n, wn2020:06487683n]	biometric_identification	[]
bn:00010560n	[wn:06424275n, wn2020:06487683n]	identity_verification	[The automatic identification of living individuals by using their physiological and behavioral characteristics]
bn:00010560n	[wn:06424275n, wn2020:06487683n]	biometric_authentication	[]
bn:00010558n	[wn:06047096n, wn2020:06105068n]	biomedicine	[The branch of medical science that applies biological and physiological principles to clinical practice]
bn:00010555n	[wn2020:08036777n, wn:07941945n]	biome	[A major biotic community characterized by the dominant forms of plant life and the prevailing climate]
bn:00010552n	[wn:11476619n, wn2020:11601264n]	bioluminescence	[Luminescence produced by physiological processes (as in the firefly)]
bn:00023596n	[wn2020:09584526n, wn:09472413n]	crater	[A bowl-shaped geological formation at the top of a volcano]
bn:00023596n	[wn2020:09584526n, wn:09472413n]	volcanic_crater	[]
bn:00027898n	[wn2020:01036913n, wn:01032040n]	service	[]
bn:00027898n	[wn2020:01036913n, wn:01032040n]	divine_service	[The act of public worship following prescribed rules]
bn:00027898n	[wn2020:01036913n, wn:01032040n]	religious_service	[]
bn:00027890n	[wn2020:06817174n, wn:06750154n]	prophecy	[]
bn:00027890n	[wn2020:06817174n, wn:06750154n]	divination	[A prediction uttered under divine inspiration]
bn:00023598n	[wn:09259219n, wn2020:09370192n]	crater	[A bowl-shaped depression formed by the impact of a meteorite or bomb]
bn:00023594n	[wn2020:03161674n, wn:03127925n]	crate	[A rugged box (usually made of wood); used for shipping]
bn:00010561n	[wn:06041600n, wn2020:06099554n]	biometrics	[]
bn:00010561n	[wn:06041600n, wn2020:06099554n]	biostatistics	[A branch of biology that studies biological phenomena and observations by means of statistical analysis]
bn:00010561n	[wn:06041600n, wn2020:06099554n]	biometry	[]
bn:00010571n	[wn2020:01140429n, wn:01135163n]	bioremediation	[The act of treating waste or pollutants by the use of microorganisms (as bacteria) that can break down the undesirable substances]
bn:00027908n	[wn:07605693n, wn2020:07698531n]	divinity_fudge	[White creamy fudge made with egg whites]
bn:00027908n	[wn:07605693n, wn2020:07698531n]	divinity	[]
bn:00010580n	[wn:02842133n, wn2020:02873390n]	bioscope	[A kind of early movie projector]
bn:00010582n	[wn2020:06211565n, wn:06152973n]	biosystematics	[]
bn:00010582n	[wn2020:06211565n, wn:06152973n]	biosystematy	[Use of data (e.g. cytogenetic or biochemical) to assess taxonomic relations especially within an evolutionary framework]
bn:00023591n	[wn:12627750n, wn2020:12755217n]	crataegus_oxycantha	[Thorny Eurasian shrub of small tree having dense clusters of white to scarlet flowers followed by deep red berries; established as an escape in eastern North America]
bn:00023591n	[wn:12627750n, wn2020:12755217n]	may	[]
bn:00023591n	[wn:12627750n, wn2020:12755217n]	crataegus_laevigata	[]
bn:00023591n	[wn:12627750n, wn2020:12755217n]	whitethorn	[]
bn:00023591n	[wn:12627750n, wn2020:12755217n]	english_hawthorn	[]
bn:00010588n	[wn:02157285n, wn2020:02178388n]	biped	[An animal with two feet]
bn:00023605n	[wn2020:07577391n, wn:07485475n]	craving	[An intense desire for some particular thing]
bn:00010584n	[wn:07941729n, wn2020:08036561n]	community	[]
bn:00010584n	[wn:07941729n, wn2020:08036561n]	biotic_community	[(ecology) a group of interdependent organisms inhabiting the same region and interacting with each other]
bn:00027896n	[wn:07213232n, wn2020:07304184n]	revelation	[]
bn:00027896n	[wn:07213232n, wn2020:07304184n]	divine_revelation	[Communication of knowledge to man by a divine or supernatural agency]
bn:00010596n	[wn:06670390n, wn2020:06736928n]	biquadratic	[An equation of the fourth degree]
bn:00010596n	[wn:06670390n, wn2020:06736928n]	biquadratic_equation	[]
bn:00027906n	[wn2020:03250914n, wn:03216199n]	divining_rod	[]
bn:00027906n	[wn2020:03250914n, wn:03216199n]	dowsing_rod	[]
bn:00027906n	[wn2020:03250914n, wn:03216199n]	dowser	[]
bn:00027906n	[wn2020:03250914n, wn:03216199n]	water_finder	[Forked stick that is said to dip down to indicate underground water or oil]
bn:00027906n	[wn2020:03250914n, wn:03216199n]	waterfinder	[]
bn:00027905n	[wn:02061853n, wn2020:02081937n]	diving_petrel	[Any of several small diving birds of southern hemisphere seas; somewhat resemble auks]
bn:00023606n	[wn:01974055n, wn2020:01993175n]	craw	[]
bn:00023606n	[wn:01974055n, wn2020:01993175n]	crop	[A pouch in many birds and some lower animals that resembles a stomach for storage and preliminary maceration of food]
bn:00010543n	[wn2020:06095583n, wn:06037666n]	biology	[]
bn:00010543n	[wn2020:06095583n, wn:06037666n]	biological_science	[The science that studies living organisms]
bn:00010597n	[wn:05862113n, wn2020:05918234n]	biquadratic	[]
bn:00010597n	[wn:05862113n, wn2020:05918234n]	quartic_polynomial	[A polynomial of the fourth degree]
bn:00010597n	[wn:05862113n, wn2020:05918234n]	biquadratic_polynomial	[]
bn:00027917n	[wn:08220891n, wn2020:08318022n]	division	[(botany) taxonomic unit of plants corresponding to a phylum]
bn:00010600n	[wn2020:02874066n, wn:02842809n]	birch	[]
bn:00010600n	[wn2020:02874066n, wn:02842809n]	birch_rod	[A switch consisting of a twig or a bundle of twigs from a birch tree; used to hit people as punishment]
bn:00023613n	[wn2020:00296454n, wn:00294868n]	crawling	[]
bn:00023613n	[wn2020:00296454n, wn:00294868n]	creep	[]
bn:00023613n	[wn2020:00296454n, wn:00294868n]	crawl	[]
