bn:00014445n	[wn:02933112n, wn2020:02964806n]	cabinet	[A piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display]
bn:00056970n	[wn:07769306n, wn2020:07862858n]	quandong	[]
bn:00056970n	[wn:07769306n, wn2020:07862858n]	quandang	[]
bn:00059268n	[wn2020:05016459n, wn:04966717n]	orange_yellow	[]
bn:00059268n	[wn2020:05016459n, wn:04966717n]	saffron	[A shade of yellow tinged with orange]
bn:00056975n	[wn:05973198n, wn2020:06030051n]	nativism	[(philosophy) the philosophical theory that some ideas are innate]
bn:00059274n	[wn2020:07332587n, wn:07241551n]	oration	[An instance of oratory]
bn:00056964n	[wn2020:14093165n, wn:13953787n]	nationality	[The status of belonging to a particular nation by birth or naturalization]
bn:00057033n	[wn:09723944n, wn2020:09834744n]	nauruan	[A native or inhabitant of Nauru]
bn:00058088n	[wn2020:02621062n, wn:02593453n]	stenotomus_chrysops	[Found in Atlantic coastal waters of North America from South Carolina to Maine; esteemed as a panfish]
bn:00058088n	[wn2020:02621062n, wn:02593453n]	northern_scup	[]
bn:00058088n	[wn2020:02621062n, wn:02593453n]	northern_porgy	[]
bn:00058088n	[wn2020:02621062n, wn:02593453n]	scup	[]
bn:00059265n	[wn2020:05014719n, wn:04964977n]	scarlet	[]
bn:00059265n	[wn2020:05014719n, wn:04964977n]	vermilion	[]
bn:00059265n	[wn2020:05014719n, wn:04964977n]	orange_red	[A variable color that is vivid red but sometimes with an orange tinge]
bn:00059275n	[wn:10380672n, wn2020:10492482n]	public_speaker	[]
bn:00059275n	[wn:10380672n, wn2020:10492482n]	speechifier	[A person who delivers a speech or oration]
bn:00059275n	[wn:10380672n, wn2020:10492482n]	orator	[]
bn:00059275n	[wn:10380672n, wn2020:10492482n]	speechmaker	[]
bn:00059275n	[wn:10380672n, wn2020:10492482n]	rhetorician	[]
bn:00058124n	[wn2020:03873970n, wn:03833564n]	nozzle	[]
bn:00058124n	[wn2020:03873970n, wn:03833564n]	nose	[A projecting spout from which a fluid is discharged]
bn:00058129n	[wn2020:03871819n, wn:03831382n]	nosepiece	[A strap that is the part of a bridle that goes over the animal's nose]
bn:00058129n	[wn2020:03871819n, wn:03831382n]	noseband	[]
bn:00059287n	[wn:03853291n, wn2020:03893766n]	orchestra_pit	[]
bn:00059287n	[wn:03853291n, wn2020:03893766n]	pit	[Lowered area in front of a stage where an orchestra accompanies the performers]
bn:00058125n	[wn:03831537n, wn2020:03871974n]	ogive	[Front consisting of the conical head of a missile or rocket that protects the payload from heat during its passage through the atmosphere]
bn:00058125n	[wn:03831537n, wn2020:03871974n]	nose_cone	[]
bn:00058133n	[wn:07577538n, wn2020:07670189n]	nosh	[(Yiddish) a snack or light meal]
bn:00058139n	[wn:03832305n, wn2020:03872711n]	nostrum	[Patent medicine whose efficacy is questionable]
bn:00058143n	[wn2020:14044165n, wn:13905275n]	notch	[A V-shaped indentation]
bn:00058117n	[wn2020:05651978n, wn:05598147n]	olfactory_organ	[The organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals]
bn:00058117n	[wn2020:05651978n, wn:05598147n]	nose	[]
bn:00059294n	[wn2020:00689920n, wn:00686913n]	orchidectomy	[]
bn:00059294n	[wn2020:00689920n, wn:00686913n]	orchiectomy	[Surgical removal of one or both testicles]
bn:00058141n	[wn:06808493n, wn2020:06875916n]	notational_system	[A technical system of symbols used to represent special things]
bn:00058141n	[wn:06808493n, wn2020:06875916n]	notation	[]
bn:00058153n	[wn2020:03873079n, wn:03832673n]	notebook_computer	[A small compact portable computer]
bn:00058153n	[wn2020:03873079n, wn:03832673n]	notebook	[]
bn:00058157n	[wn2020:06319819n, wn:06259166n]	notepaper	[Writing paper intended for writing short notes or letters]
bn:00059303n	[wn2020:07259447n, wn:07168623n]	order	[(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed]
bn:00058151n	[wn:15134913n, wn2020:15280629n]	note_value	[(music) the relative duration of a musical note]
bn:00058151n	[wn:15134913n, wn2020:15280629n]	time_value	[]
bn:00058151n	[wn:15134913n, wn2020:15280629n]	value	[]
bn:00059296n	[wn2020:12168900n, wn:12043444n]	orchis	[Any of various deciduous terrestrial orchids having fleshy tubers and flowers in erect terminal racemes]
bn:00059306n	[wn2020:08554608n, wn:08456993n]	ordering	[]
bn:00059306n	[wn2020:08554608n, wn:08456993n]	order	[]
bn:00059306n	[wn2020:08554608n, wn:08456993n]	ordination	[Logical or comprehensible arrangement of separate elements]
bn:00059307n	[wn2020:14637513n, wn:14496710n]	order	[A condition of regular or proper arrangement]
bn:00059307n	[wn2020:14637513n, wn:14496710n]	orderliness	[]
bn:00059302n	[wn2020:01201986n, wn:01196477n]	ordeal	[]
bn:00059302n	[wn2020:01201986n, wn:01196477n]	trial_by_ordeal	[A primitive method of determining a person's guilt or innocence by subjecting the accused person to dangerous or painful tests believed to be under divine control; escape was usually taken as a sign of innocence]
bn:00058148n	[wn2020:13532332n, wn:13398469n]	note_of_hand	[A promise to pay a specified amount on demand or at a certain time]
bn:00058148n	[wn2020:13532332n, wn:13398469n]	promissory_note	[]
bn:00058148n	[wn2020:13532332n, wn:13398469n]	note	[]
bn:00058163n	[wn2020:01740743n, wn:01725933n]	nothosauria	[]
bn:00058163n	[wn2020:01740743n, wn:01725933n]	suborder_nothosauria	[A suborder of Sauropterygia]
bn:00058171n	[wn:10363445n, wn2020:10475255n]	noticer	[Someone who takes notice]
bn:00058176n	[wn2020:03873205n, wn:03832799n]	notion	[(usually plural) small personal articles or clothing or sewing items]
bn:00059308n	[wn:06529219n, wn2020:06594144n]	purchase_order	[A commercial document used to request someone to supply something in return for payment and providing specifications and quantities]
bn:00059308n	[wn:06529219n, wn2020:06594144n]	order	[]
bn:00058174n	[wn:05836598n, wn2020:05892099n]	notion	[A general inclusive concept]
bn:00058189n	[wn2020:00667704n, wn:00664849n]	nourishment	[The act of nourishing]
bn:00059311n	[wn:07279687n, wn2020:07370871n]	order	[A request for something to be made, supplied, or served]
bn:00058188n	[wn:06317862n, wn2020:06379419n]	noun	[The word class that can serve as the subject or object of a verb, the object of a preposition, or in apposition]
bn:00059309n	[wn:06652878n, wn2020:06719301n]	order	[]
bn:00059309n	[wn:06652878n, wn2020:06719301n]	rules_of_order	[]
bn:00059309n	[wn:06652878n, wn2020:06719301n]	parliamentary_law	[]
bn:00059309n	[wn:06652878n, wn2020:06719301n]	parliamentary_procedure	[A body of rules followed by an assembly]
bn:00059285n	[wn2020:08345439n, wn:08248157n]	orchestra	[A musical organization consisting of a group of instrumentalists including string players]
bn:00058210n	[wn:10364198n, wn2020:10476008n]	novice	[Someone who has entered a religious order but has not taken final vows]
bn:00058210n	[wn:10364198n, wn2020:10476008n]	novitiate	[]
bn:00059361n	[wn:01816635n, wn2020:01832238n]	order_psittaciformes	[An order of birds including parrots and amazons and cockatoos and lorikeets and lories and macaws and parakeets]
bn:00059361n	[wn:01816635n, wn2020:01832238n]	psittaciformes	[]
bn:00058211n	[wn:15294884n, wn2020:15442004n]	noviciate	[The period during which you are a novice (especially in a religious order)]
bn:00058211n	[wn:15294884n, wn2020:15442004n]	novitiate	[]
bn:00059364n	[wn2020:01802485n, wn:01786879n]	pycnogonida	[]
bn:00059364n	[wn2020:01802485n, wn:01786879n]	order_pycnogonida	[Sea spiders]
bn:00059354n	[wn:02502902n, wn2020:02528605n]	proboscidea	[]
bn:00059354n	[wn:02502902n, wn2020:02528605n]	order_proboscidea	[An order of animals including elephants and mammoths]
bn:00058215n	[wn:04006953n, wn2020:04048827n]	novocain	[Procaine administered as a hydrochloride (trade name Novocain)]
bn:00058215n	[wn:04006953n, wn2020:04048827n]	novocaine	[]
bn:00058215n	[wn:04006953n, wn2020:04048827n]	procaine_hydrochloride	[]
bn:00058217n	[wn:15119919n, wn2020:15265316n]	now	[The momentary present]
bn:00059372n	[wn:02329093n, wn2020:02352381n]	rodentia	[]
bn:00059372n	[wn:02329093n, wn2020:02352381n]	order_rodentia	[Small gnawing animals: porcupines; rats; mice; squirrels; marmots; beavers; gophers; voles; hamsters; guinea pigs; agoutis]
bn:00058192n	[wn2020:15359601n, wn:15213406n]	nov	[The month following October and preceding December]
bn:00058192n	[wn2020:15359601n, wn:15213406n]	november	[]
bn:00058201n	[wn:06367879n, wn2020:06430747n]	novel	[An extended fictional work in prose; usually in the form of a story]
bn:00059484n	[wn2020:03959899n, wn:03918737n]	personal_digital_assistant	[]
bn:00059484n	[wn2020:03959899n, wn:03918737n]	pda	[]
bn:00059484n	[wn2020:03959899n, wn:03918737n]	personal_organizer	[]
bn:00059484n	[wn2020:03959899n, wn:03918737n]	personal_organiser	[]
bn:00059484n	[wn2020:03959899n, wn:03918737n]	organizer	[]
bn:00059484n	[wn2020:03959899n, wn:03918737n]	organiser	[A lightweight consumer electronic device that looks like a hand-held computer but instead performs specific tasks; can serve as a diary or a personal database or a telephone or an alarm clock etc.]
bn:00059494n	[wn:07651454n, wn2020:07744332n]	variety_meat	[]
bn:00059494n	[wn:07651454n, wn2020:07744332n]	organs	[Edible viscera of a butchered animal]
bn:00059496n	[wn:01030280n, wn2020:01035153n]	orgy	[Secret rite in the cults of ancient Greek or Roman deities involving singing and dancing and drinking and sexual activity]
bn:00059498n	[wn:09643078n]	oriental	[]
bn:00059498n	[wn:09643078n]	oriental_person	[A member of an Oriental race; the term is regarded as offensive by Asians (especially by Asian Americans)]
bn:00059504n	[wn2020:06217131n, wn:06158185n]	orientalism	[]
bn:00059504n	[wn2020:06217131n, wn:06158185n]	oriental_studies	[The scholarly knowledge of Asian cultures and languages and people]
bn:00058225n	[wn2020:06903299n, wn:06835420n]	nu	[The 13th letter of the Greek alphabet]
bn:00058235n	[wn2020:10476312n, wn:10364502n]	radiochemist	[A chemist who specializes in nuclear chemistry]
bn:00058235n	[wn2020:10476312n, wn:10364502n]	nuclear_chemist	[]
bn:00059611n	[wn2020:05331265n, wn:05278152n]	palatine	[]
bn:00059611n	[wn2020:05331265n, wn:05278152n]	os_palatinum	[Either of two irregularly shaped bones that form the back of the hard palate and helps to form the nasal cavity and the floor of the orbits]
bn:00059611n	[wn2020:05331265n, wn:05278152n]	palatine_bone	[]
bn:00058238n	[wn2020:01081702n, wn:01076863n]	nuclear_deterrence	[The military doctrine that an enemy will be deterred from using nuclear weapons as long as he can be destroyed as a consequence]
bn:00059588n	[wn2020:06413757n, wn:06351202n]	writing_system	[A method of representing the sounds of a language by written or printed symbols]
bn:00059588n	[wn2020:06413757n, wn:06351202n]	orthography	[]
bn:00058261n	[wn:05501932n, wn2020:05555560n]	nucleus	[Any histologically identifiable mass of neural cell bodies in the brain or spinal cord]
bn:00059652n	[wn:13529015n, wn2020:13663342n]	ossification	[The calcification of soft tissue into a bonelike material]
bn:00058351n	[wn:03836602n, wn2020:03876988n]	nutcracker	[A compound lever used to crack nuts open]
bn:00062665n	[wn2020:13227577n, wn:13096159n]	pith	[Soft spongelike central cylinder of the stems of most flowering plants]
bn:00058352n	[wn:01590583n, wn2020:01602593n]	nutcracker	[Any of various small short-tailed songbirds with strong feet and a sharp beak that feed on small nuts and insects]
bn:00058352n	[wn:01590583n, wn2020:01602593n]	nuthatch	[]
bn:00062693n	[wn:12251740n, wn2020:12378025n]	pyxie	[]
bn:00062693n	[wn:12251740n, wn2020:12378025n]	pixie	[]
bn:00062693n	[wn:12251740n, wn2020:12378025n]	pixy	[]
bn:00062693n	[wn:12251740n, wn2020:12378025n]	pyxidanthera_barbulata	[Creeping evergreen shrub having narrow overlapping leaves and early white star-shaped flowers; of the pine barrens of New Jersey and the Carolinas]
bn:00058380n	[wn:10368624n, wn2020:10480434n]	nymphet	[A sexually attractive young woman]
bn:00062692n	[wn2020:04072367n, wn:04030161n]	pyx	[]
bn:00062692n	[wn2020:04072367n, wn:04030161n]	pix	[Any receptacle in which wafers for the Eucharist are kept]
bn:00058422n	[wn:07568502n, wn2020:07661135n]	oatmeal	[]
bn:00058422n	[wn:07568502n, wn2020:07661135n]	rolled_oats	[Meal made from rolled or ground oats]
bn:00058445n	[wn:06132724n, wn2020:06191135n]	object	[(computing) a discrete item that provides a description of virtually anything known to a computer]
bn:00058452n	[wn:03838298n, wn2020:03878737n]	object_glass	[The lens or system of lenses in a telescope or microscope that is nearest the object being viewed]
bn:00058452n	[wn:03838298n, wn2020:03878737n]	objective	[]
bn:00058452n	[wn:03838298n, wn2020:03878737n]	objective_lens	[]
bn:00058452n	[wn:03838298n, wn2020:03878737n]	object_lens	[]
bn:00062703n	[wn:13926786n, wn2020:14065925n]	shoes	[A particular situation]
bn:00062703n	[wn:13926786n, wn2020:14065925n]	place	[]
bn:00058461n	[wn:01025678n, wn2020:01030443n]	objection	[(law) a procedure whereby a party to a suit says that a particular line of questioning or a particular witness or a piece of evidence or other matter is improper and should not be continued and asks the court to rule on its impropriety or illegality]
bn:00058464n	[wn:10348874n, wn2020:10460712n]	oblate	[A lay person dedicated to religious work or the religious life]
bn:00058466n	[wn2020:01046222n, wn:01041349n]	oblation	[]
bn:00058466n	[wn2020:01046222n, wn:01041349n]	religious_offering	[The act of offering the bread and wine of the Eucharist]
bn:00058470n	[wn:06311334n, wn2020:06372870n]	oblique	[]
bn:00058470n	[wn:06311334n, wn2020:06372870n]	oblique_case	[Any grammatical case other than the nominative]
bn:00058478n	[wn:13873361n, wn2020:14011733n]	oblong	[A plane figure that deviates from a square or circle due to elongation]
bn:00062699n	[wn2020:08764268n, wn:08664443n]	topographic_point	[]
bn:00062699n	[wn2020:08764268n, wn:08664443n]	place	[]
bn:00062699n	[wn2020:08764268n, wn:08664443n]	spot	[A point located with respect to surface features of some region]
bn:00058481n	[wn:14441498n, wn2020:14581895n]	obloquy	[]
bn:00058481n	[wn:14441498n, wn2020:14581895n]	opprobrium	[State of disgrace resulting from public abuse]
bn:00062696n	[wn2020:07113189n, wn:07024607n]	pizzicato	[A note or passage that is played pizzicato]
bn:00058469n	[wn:06773150n, wn2020:06840328n]	obligation	[A legal agreement specifying a payment or action and the penalty for failure to comply]
bn:00058488n	[wn2020:06044286n, wn:05987397n]	obscurantism	[A policy of opposition to enlightenment or the spread of knowledge]
bn:00062716n	[wn:03953743n, wn2020:03995244n]	place_setting	[]
bn:00062716n	[wn:03953743n, wn2020:03995244n]	setting	[A table service for one person]
bn:00062723n	[wn2020:00041245n, wn:00039990n]	placement	[Contact established between applicants and prospective employees]
bn:00058500n	[wn:03839671n, wn2020:03880110n]	observatory	[A building designed and equipped to observe astronomical phenomena]
bn:00058504n	[wn:10349090n, wn2020:10460928n]	obsessive-compulsive	[A person with obsessive-compulsive characteristics]
bn:00062721n	[wn:07271478n, wn2020:07362644n]	placeholder	[A symbol in a logical or mathematical expression that can be replaced by the name of any member of specified set]
bn:00062729n	[wn:11680995n, wn2020:11804724n]	placentation	[Arrangement of the ovules in the placenta and of the placentas in the ovary]
bn:00058511n	[wn2020:05744573n, wn:05690269n]	obstruction	[Something immaterial that stands in the way and must be circumvented or surmounted]
bn:00058511n	[wn2020:05744573n, wn:05690269n]	obstacle	[]
bn:00062734n	[wn2020:04952556n, wn:04904352n]	placidity	[]
bn:00062734n	[wn2020:04952556n, wn:04904352n]	serenity	[]
bn:00062734n	[wn2020:04952556n, wn:04904352n]	repose	[]
bn:00062734n	[wn2020:04952556n, wn:04904352n]	quiet	[]
bn:00062734n	[wn2020:04952556n, wn:04904352n]	tranquillity	[]
bn:00062734n	[wn2020:04952556n, wn:04904352n]	tranquility	[A disposition free from stress or emotion]
bn:00058495n	[wn:01002956n, wn2020:01007526n]	observation	[The act of making and recording a measurement]
bn:00062717n	[wn2020:03994197n, wn:03952696n]	placebo	[An innocuous or inert medication; given as a pacifier or to the control group in experiments on the efficacy of a drug]
bn:00058512n	[wn:03839795n, wn2020:03880234n]	obstacle	[An obstruction that stands in the way (and must be removed or surmounted or circumvented)]
bn:00058516n	[wn:10349243n, wn2020:10461081n]	obstructionist	[]
bn:00058516n	[wn:10349243n, wn2020:10461081n]	obstructor	[]
bn:00058516n	[wn:10349243n, wn2020:10461081n]	obstructer	[]
bn:00058516n	[wn:10349243n, wn2020:10461081n]	resister	[]
bn:00058516n	[wn:10349243n, wn2020:10461081n]	thwarter	[Someone who systematically obstructs some action that others want to take]
bn:00062738n	[wn:12185254n, wn2020:12311527n]	ribbonwood	[]
bn:00062738n	[wn:12185254n, wn2020:12311527n]	plagianthus_regius	[]
bn:00062738n	[wn:12185254n, wn2020:12311527n]	ribbon_tree	[]
bn:00062738n	[wn:12185254n, wn2020:12311527n]	plagianthus_betulinus	[Deciduous New Zealand tree whose inner bark yields a strong fiber that resembles flax and is called New Zealand cotton]
bn:00058532n	[wn2020:03880946n, wn:03840507n]	obverse	[The side of a coin or medal bearing the principal stamp or design]
bn:00064198n	[wn2020:06310673n, wn:06250597n]	prescriptivism	[(ethics) a doctrine holding that moral statements prescribe appropriate attitudes and behavior]
bn:00064189n	[wn:08276539n, wn2020:08373866n]	preschool	[An educational institution for children too young for elementary school]
bn:00058533n	[wn2020:12831593n, wn:12704041n]	oca	[]
bn:00058533n	[wn2020:12831593n, wn:12704041n]	oka	[]
bn:00058533n	[wn2020:12831593n, wn:12704041n]	oxalis_tuberosa	[]
bn:00058533n	[wn2020:12831593n, wn:12704041n]	oxalis_crenata	[South American wood sorrel cultivated for its edible tubers]
bn:00058543n	[wn2020:06217003n, wn:06158057n]	occidentalism	[The scholarly knowledge of western cultures and languages and people]
bn:00058542n	[wn:06897474n, wn2020:06965727n]	occidental	[An artificial language]
bn:00064218n	[wn2020:10577913n, wn:10466198n]	sponsor	[An advocate who presents a person (as for an award or a degree or an introduction etc.)]
bn:00064218n	[wn2020:10577913n, wn:10466198n]	presenter	[]
bn:00058555n	[wn:05067928n, wn2020:05118844n]	occlusion	[(dentistry) the normal spatial relation of the teeth when the jaws are closed]
bn:00058553n	[wn:11461080n, wn2020:11585724n]	occluded_front	[]
bn:00058553n	[wn:11461080n, wn2020:11585724n]	occlusion	[(meteorology) a composite front when colder air surrounds a mass of warm air and forces it aloft]
bn:00064217n	[wn:10466387n, wn2020:10578102n]	presenter	[Someone who presents a message of some sort (as a petition or an address or a check or a memorial etc.)]
bn:00058559n	[wn:05968450n, wn2020:06025285n]	occultism	[The study of the supernatural]
bn:00058564n	[wn:10523519n, wn2020:10635415n]	occupier	[Someone who lives at a particular place for a prolonged period or who was born there]
bn:00058564n	[wn:10523519n, wn2020:10635415n]	resident	[]
bn:00058564n	[wn:10523519n, wn2020:10635415n]	occupant	[]
bn:00064216n	[wn2020:05132496n, wn:05081434n]	presentation	[(obstetrics) position of the fetus in the uterus relative to the birth canal]
bn:00058566n	[wn:15141486n, wn2020:15287302n]	occupation	[The period of time during which a place or position or nation is occupied]
bn:00058562n	[wn2020:01059118n, wn:01054335n]	occupancy	[]
bn:00058562n	[wn2020:01059118n, wn:01054335n]	tenancy	[An act of being a tenant or occupant]
bn:00058573n	[wn:13959069n, wn2020:14098551n]	occurrence	[An instance of something occurring]
bn:00058572n	[wn:10369955n, wn2020:10481765n]	occupier	[A member of a military force who is residing in a conquered foreign country]
bn:00064209n	[wn2020:06391671n, wn:06329734n]	present	[]
bn:00064209n	[wn2020:06391671n, wn:06329734n]	present_tense	[A verb tense that expresses actions or states at the time of speaking]
bn:00064231n	[wn2020:10578633n, wn:10466918n]	preserver	[Someone who keeps safe from harm or danger]
bn:00064232n	[wn2020:00599181n, wn:00596807n]	presidentship	[The office and function of president]
bn:00064232n	[wn2020:00599181n, wn:00596807n]	presidency	[]
bn:00058556n	[wn2020:07206692n, wn:07115914n]	stop_consonant	[]
bn:00058556n	[wn2020:07206692n, wn:07115914n]	stop	[]
bn:00058556n	[wn2020:07206692n, wn:07115914n]	occlusive	[]
bn:00058556n	[wn2020:07206692n, wn:07115914n]	plosive_consonant	[]
bn:00058556n	[wn2020:07206692n, wn:07115914n]	plosive_speech_sound	[]
bn:00058556n	[wn2020:07206692n, wn:07115914n]	plosive	[A consonant produced by stopping the flow of air at some point and suddenly releasing it]
bn:00058557n	[wn2020:09616159n, wn:09503877n]	supernatural	[]
bn:00058557n	[wn2020:09616159n, wn:09503877n]	occult	[Supernatural forces and events and beings collectively]
bn:00058552n	[wn:06966190n, wn2020:07046983n]	provencal	[]
bn:00058552n	[wn:06966190n, wn2020:07046983n]	occitan	[The medieval dialects of Langue d'oc (southern France)]
bn:00058578n	[wn:02644817n, wn2020:02673489n]	rosefish	[]
bn:00058578n	[wn:02644817n, wn2020:02673489n]	ocean_perch	[]
bn:00058578n	[wn:02644817n, wn2020:02673489n]	sebastodes_marinus	[Large fish of northern Atlantic coasts of America and Europe]
bn:00058587n	[wn:05312306n, wn2020:05365625n]	simple_eye	[]
bn:00058587n	[wn:05312306n, wn2020:05365625n]	stemma	[]
bn:00058587n	[wn:05312306n, wn2020:05365625n]	ocellus	[An eye having a single lens]
bn:00064235n	[wn:10468750n, wn2020:10580484n]	president	[]
bn:00064235n	[wn:10468750n, wn2020:10580484n]	prexy	[The head administrative officer of a college or university]
bn:00064226n	[wn:14997529n, wn2020:15141718n]	preservative	[A chemical compound that is added to protect against decay or decomposition]
bn:00058589n	[wn:14843986n, wn2020:14986586n]	ocher	[]
bn:00058589n	[wn:14843986n, wn2020:14986586n]	ochre	[Any of various earths containing silica and alumina and ferric oxide; used as a pigment]
bn:00064245n	[wn:06263369n, wn2020:06324022n]	public_press	[The print media responsible for gathering and publishing news in the form of newspapers or magazines]
bn:00064245n	[wn:06263369n, wn2020:06324022n]	press	[]
bn:00058574n	[wn:09376198n, wn2020:09487564n]	ocean	[A large body of water constituting a principal part of the hydrosphere]
bn:00064246n	[wn:04000311n, wn2020:04042131n]	press	[]
bn:00064246n	[wn:04000311n, wn2020:04042131n]	printing_press	[A machine used for printing]
bn:00064247n	[wn2020:04042318n, wn:04000480n]	press	[Clamp to prevent wooden rackets from warping when not in use]
bn:00058606n	[wn:15296258n, wn2020:15443392n]	octave	[A feast day and the seven days following it]
bn:00064249n	[wn:00629318n, wn2020:00631925n]	press-up	[An arm exercise performed lying face to the floor and pushing the body up and down with the arms]
bn:00064249n	[wn:00629318n, wn2020:00631925n]	pushup	[]
bn:00058618n	[wn:07782365n, wn2020:07875935n]	octopus	[Tentacles of octopus prepared as food]
bn:00058614n	[wn:07888058n, wn2020:07982005n]	oktoberfest	[]
bn:00058614n	[wn:07888058n, wn2020:07982005n]	octoberfest	[A strong lager made originally in Germany for the Oktoberfest celebration; sweet and copper-colored]
bn:00058617n	[wn2020:01988670n, wn:01969550n]	octopoda	[]
bn:00058617n	[wn2020:01988670n, wn:01969550n]	order_octopoda	[Octopuses and paper nautilus]
bn:00058623n	[wn:10380305n, wn2020:10492115n]	optometrist	[]
bn:00058623n	[wn:10380305n, wn2020:10492115n]	oculist	[A person skilled in testing for defects of vision in order to prescribe corrective glasses]
bn:00058633n	[wn:04799011n, wn2020:04846410n]	oddity	[]
bn:00058633n	[wn:04799011n, wn2020:04846410n]	oddness	[Eccentricity that is not easily explained]
bn:00058634n	[wn:13790592n, wn2020:13927933n]	oddness	[The parity of odd numbers (not divisible by two)]
bn:00058628n	[wn2020:10482413n, wn:10370603n]	odalisque	[A woman slave in a harem]
bn:00064234n	[wn2020:10578894n, wn:10467179n]	president	[The chief executive of a republic]
bn:00058627n	[wn:02587877n, wn2020:02615055n]	yellowtail	[]
bn:00058627n	[wn:02587877n, wn2020:02615055n]	yellowtail_snapper	[]
bn:00058627n	[wn:02587877n, wn2020:02615055n]	ocyurus_chrysurus	[Superior food fish of the tropical Atlantic and Caribbean with broad yellow stripe along the sides and on the tail]
bn:00064296n	[wn:04002026n, wn2020:04043864n]	preventative	[]
bn:00064296n	[wn:04002026n, wn2020:04043864n]	preventive	[]
bn:00064296n	[wn:04002026n, wn2020:04043864n]	prophylactic	[Remedy that prevents or slows the course of an illness or disease]
bn:00064295n	[wn2020:13961652n, wn:13824114n]	prevalence	[(epidemiology) the ratio (for a given time period) of the number of occurrences of a disease or event to the number of units at risk in the population]
bn:00064355n	[wn:07741623n, wn2020:07835102n]	prima	[Used primarily as eating apples]
bn:00058632n	[wn:02373336n, wn2020:02397800n]	odd-toed_ungulate	[]
bn:00058632n	[wn:02373336n, wn2020:02397800n]	perissodactyl	[]
bn:00058632n	[wn:02373336n, wn2020:02397800n]	perissodactyl_mammal	[Placental mammals having hooves with an odd number of toes on each foot]
bn:00064363n	[wn:09398769n, wn2020:09510318n]	primary	[(astronomy) a celestial body (especially a star) relative to other objects in orbit around it]
bn:00064404n	[wn:04003241n, wn2020:04045079n]	primus	[A portable paraffin cooking stove; used by campers]
bn:00064404n	[wn:04003241n, wn2020:04045079n]	primus_stove	[]
bn:00058593n	[wn:15213115n, wn2020:15359310n]	october	[]
bn:00058593n	[wn:15213115n, wn2020:15359310n]	oct	[The month following September and preceding November]
bn:00058650n	[wn:02066450n, wn2020:02086596n]	odontoceti	[]
bn:00058650n	[wn:02066450n, wn2020:02086596n]	suborder_odontoceti	[Toothed whales: dolphins; porpoises; sperm whales; beaked whales]
bn:00058684n	[wn:01036194n, wn2020:01041067n]	offertory	[The part of the Eucharist when bread and wine are offered to God]
bn:00064401n	[wn2020:12216934n, wn:12090890n]	primrose	[]
bn:00064401n	[wn2020:12216934n, wn:12090890n]	primula	[Any of numerous short-stemmed plants of the genus Primula having tufted basal leaves and showy flowers clustered in umbels or heads]
bn:00058752n	[wn2020:15036779n, wn:14893652n]	turpentine	[]
bn:00058752n	[wn2020:15036779n, wn:14893652n]	spirit_of_turpentine	[]
bn:00058752n	[wn2020:15036779n, wn:14893652n]	oil_of_turpentine	[]
bn:00058752n	[wn2020:15036779n, wn:14893652n]	turps	[Volatile liquid distilled from turpentine oleoresin; used as paint thinner and solvent and medicinally]
bn:00058764n	[wn:10530862n, wn2020:10642740n]	rigger	[]
bn:00058764n	[wn:10530862n, wn2020:10642740n]	oil_rigger	[Someone who works on an oil rig]
bn:00058773n	[wn2020:10486225n, wn:10374415n]	oiler	[A worker who oils engines or machinery]
bn:00058776n	[wn:10374652n, wn2020:10486462n]	oilman	[A person who owns or operates oil wells]
bn:00058779n	[wn:03844815n, wn2020:03885253n]	slicker	[A macintosh made from cotton fabric treated with oil and pigment to make it waterproof]
bn:00058779n	[wn:03844815n, wn2020:03885253n]	oilskin	[]
bn:00064422n	[wn2020:13534525n, wn:13400662n]	principal	[The original amount of a debt on which interest is calculated]
bn:00058791n	[wn:12172364n, wn2020:12298637n]	okra	[Long green edible beaked pods of the okra plant]
bn:00064417n	[wn2020:10585798n, wn:10474064n]	princess	[A female member of a royal family other than the queen (especially the daughter of a sovereign)]
bn:00064414n	[wn2020:08657430n, wn:08558488n]	principality	[]
bn:00064414n	[wn2020:08657430n, wn:08558488n]	princedom	[Territory ruled by a prince]
bn:00058768n	[wn:03845190n, wn2020:03885628n]	oil_tanker	[]
bn:00058768n	[wn:03845190n, wn2020:03885628n]	tanker	[]
bn:00058768n	[wn:03845190n, wn2020:03885628n]	oiler	[]
bn:00058768n	[wn:03845190n, wn2020:03885628n]	tank_ship	[A cargo ship designed to carry crude oil in bulk]
bn:00064439n	[wn2020:04045730n, wn:04003856n]	print	[A fabric with a dyed pattern pressed onto it (usually by engraved rollers)]
bn:00058790n	[wn2020:09855870n, wn:09745132n]	sooner	[A native or resident of Oklahoma]
bn:00058790n	[wn2020:09855870n, wn:09745132n]	oklahoman	[]
bn:00058797n	[wn:13384341n, wn2020:13518068n]	old-age_pension	[]
bn:00058797n	[wn:13384341n, wn2020:13518068n]	retirement_check	[]
bn:00058797n	[wn:13384341n, wn2020:13518068n]	retirement_pension	[]
bn:00058797n	[wn:13384341n, wn2020:13518068n]	retirement_fund	[]
